iter	Logloss
0	0.6789342821
1	0.6647870212
2	0.6508054374
3	0.6391616941
4	0.6276891028
5	0.6174582637
6	0.6078018534
7	0.5961707352
8	0.5833470158
9	0.5733051314
10	0.5608080895
11	0.5514823805
12	0.5400510493
13	0.5319216345
14	0.5226650996
15	0.5161062446
16	0.508096122
17	0.5006263329
18	0.4933665875
19	0.4834773428
20	0.4766895507
21	0.4672407512
22	0.4603365701
23	0.4517225268
24	0.4445012194
25	0.436917985
26	0.4288245689
27	0.4208908409
28	0.4143769714
29	0.4057960868
30	0.3979930087
31	0.3921775884
32	0.3860028547
33	0.3798700781
34	0.3737442044
35	0.3680838376
36	0.3619682295
37	0.3563569541
38	0.3494554198
39	0.343473966
40	0.3393697058
41	0.3332150369
42	0.3277289752
43	0.3229350133
44	0.3179841475
45	0.3120872136
46	0.3084768119
47	0.3020879123
48	0.2967761283
49	0.2905474743
50	0.2851426744
51	0.2816361268
52	0.2769775584
53	0.2727460603
54	0.269229033
55	0.2652949049
56	0.2611732571
57	0.2578651356
58	0.2549939216
59	0.2526015842
60	0.2480046375
61	0.2453350472
62	0.2424176863
63	0.2396624984
64	0.2364217976
65	0.2335025819
66	0.2305610347
67	0.2276543426
68	0.2251911395
69	0.2226187302
70	0.218844099
71	0.2152797231
72	0.2126899685
73	0.2105514739
74	0.2073271123
75	0.2052911274
76	0.2019962432
77	0.1997279362
78	0.1972995813
79	0.1953319201
80	0.1933204301
81	0.1914560414
82	0.1888566131
83	0.1865936744
84	0.1850267187
85	0.1823615527
86	0.1795152381
87	0.1776722801
88	0.1763128569
89	0.1747636215
90	0.1730051368
91	0.1702839885
92	0.1678030107
93	0.1658893092
94	0.1645341018
95	0.1625880468
96	0.1612433395
97	0.1597528227
98	0.1581725265
99	0.1571515379
100	0.1554558689
101	0.1538753367
102	0.1525115698
103	0.1512578613
104	0.1500929621
105	0.1486656511
106	0.1473483418
107	0.1462091196
108	0.1449618448
109	0.1438351098
110	0.1428588856
111	0.1417091762
112	0.1406028557
113	0.1397411188
114	0.1387452365
115	0.1379105977
116	0.1367594115
117	0.1358225471
118	0.1341932574
119	0.1327064143
120	0.1317436843
121	0.1305633559
122	0.1294777754
123	0.1284931978
124	0.1274663033
125	0.1265724026
126	0.1254147394
127	0.1244923379
128	0.1232044505
129	0.1224429446
130	0.1213676716
131	0.1204572168
132	0.119843774
133	0.1191439571
134	0.1181533842
135	0.11755005
136	0.1165674278
137	0.1157274541
138	0.1150779
139	0.1144429025
140	0.1138614018
141	0.1131231253
142	0.1123598386
143	0.1116686233
144	0.1107890102
145	0.1102070403
146	0.1094473447
147	0.1087051819
148	0.1078547513
149	0.1072211612
150	0.1066124152
151	0.1060733826
152	0.1055114493
153	0.1047138328
154	0.1040897033
155	0.1036019904
156	0.1029229402
157	0.1020384979
158	0.101562521
159	0.1008150544
160	0.1002626321
161	0.09979944745
162	0.09939340848
163	0.09875896022
164	0.09817906576
165	0.09760531173
166	0.09708332789
167	0.09650337434
168	0.09580630225
169	0.09528825139
170	0.09464056546
171	0.0940662743
172	0.09365588688
173	0.09311771473
174	0.09250989706
175	0.09203585369
176	0.09140247234
177	0.09090161918
178	0.09033566598
179	0.0898107491
180	0.08944146836
181	0.08892106184
182	0.08838737912
183	0.08805881159
184	0.08773045508
185	0.08732961627
186	0.08700953448
187	0.08663723412
188	0.08626576937
189	0.08590277983
190	0.08560762477
191	0.08533512583
192	0.08496930532
193	0.08457230845
194	0.08427190772
195	0.08390784264
196	0.08344716032
197	0.08310238987
198	0.08276990231
199	0.08242986878
200	0.08200222353
201	0.08171204402
202	0.08140916334
203	0.0809680858
204	0.08051545957
205	0.08008709843
206	0.07984284597
207	0.07955630496
208	0.07927114624
209	0.0790120677
210	0.07871648238
211	0.07843489262
212	0.07824131469
213	0.07783396275
214	0.07758430138
215	0.07740402361
216	0.07711011446
217	0.07676740095
218	0.07660099681
219	0.07636609602
220	0.07616950697
221	0.07588486139
222	0.07560141404
223	0.07545206994
224	0.07521815886
225	0.07497442602
226	0.07479697038
227	0.0745018828
228	0.074344072
229	0.07409581479
230	0.07388200547
231	0.07366040142
232	0.07350410425
233	0.07327845661
234	0.07305253205
235	0.07278214016
236	0.07254288787
237	0.07231707471
238	0.07201209418
239	0.07176050788
240	0.07153768165
241	0.07131323526
242	0.07108777667
243	0.07084446284
244	0.07054615899
245	0.07029385147
246	0.07016777425
